"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"B14";"bebl_v2_pretty:batt_clip";1;"LiPo+";;;
2;"B15";"bebl_v2_pretty:batt_clip";1;"LiPo-";;;
3;"P13";"bebl_v2_pretty:pin_strip_2";1;"LED_CHG";;;
4;"P12";"bebl_v2_pretty:pin_socket_2";1;"CHG_LED";;;
5;"P9";"bebl_v2_pretty:pin_strip_2";1;"LED_DRV";;;
6;"P10";"bebl_v2_pretty:pin_strip_2";1;"LED_DRL";;;
7;"P11";"bebl_v2_pretty:pin_socket_2";1;"DRV_LED";;;
8;"P8";"bebl_v2_pretty:pin_socket_2";1;"DRL_LED";;;
9;"SC8,SC7,SC6,SC5,SC1,SC2,SC3,SC4";"bebl_v2_pretty:screw_3mm";8;"SCREW";;;
10;"SW2";"bebl_v2_pretty:Switch_SMT";1;"MODE";;;
11;"R8,R1,R2,R3";"bebl_v2_pretty:r_0805";4;"10k";;;
12;"C1,C2";"bebl_v2_pretty:c_0805";2;"22p";;;
13;"C3,C4";"bebl_v2_pretty:c_0805";2;"100n";;;
14;"C5,C7,C9,C10";"bebl_v2_pretty:c_0805";4;"10uF";;;
15;"C6";"bebl_v2_pretty:c_0805";1;"1uF";;;
16;"C8,C12";"bebl_v2_pretty:c_0805";2;"4u7";;;
17;"C11,C13";"bebl_v2_pretty:c_0805";2;"100nF";;;
18;"D1";"bebl_v2_pretty:LED-5MM";1;"DRL";;;
19;"D2,D3,D4,D5,D6";"bebl_v2_pretty:LED-5MM";5;"LED_R";;;
20;"D7";"bebl_v2_pretty:Diode-EMD2";1;"RB520S-30TE61";;;
21;"D8";"bebl_v2_pretty:LED-0805";1;"CHG";;;
22;"L1";"bebl_v2_pretty:Inductor_NLCV32";1;"10uH";;;
23;"L2";"bebl_v2_pretty:Inductor_LQH3NPN";1;"4u7";;;
24;"P2";"bebl_v2_pretty:PIN_ARRAY-6X1";1;"FTDI";;;
25;"P4";"bebl_v2_pretty:USB_B_Micro";1;"USB-Micro";;;
26;"R4";"bebl_v2_pretty:r_0805";1;"140E";;;
27;"R5";"bebl_v2_pretty:r_0805";1;"12.4E";;;
28;"R6";"bebl_v2_pretty:r_0805";1;"150E";;;
29;"R7";"bebl_v2_pretty:r_0805";1;"2k";;;
30;"SW1";"bebl_v2_pretty:Switch_SMT";1;"RST";;;
31;"U1";"bebl_v2_pretty:TQFP32";1;"ATMEGA328";;;
32;"U2";"bebl_v2_pretty:SOT23-6";1;"FAN5346";;;
33;"U3";"bebl_v2_pretty:ADXL345";1;"ADXL345";;;
34;"U4";"bebl_v2_pretty:SOT23-5";1;"MCP73831";;;
35;"U5";"bebl_v2_pretty:SOT23-6_LDO";1;"TPS61221DCK";;;
36;"X1";"bebl_v2_pretty:Xtal_SMD4";1;"8MHz";;;
37;"P3";"bebl_v2_pretty:pin_strip_2";1;"Ext_LiPo";;;
38;"B1,B2,B3,B4,B5,B6,B10,B11,B12,B13";"bebl_v2_pretty:breakout_smd";10;"I/O";;;
39;"P1";"bebl_v2_pretty:Header_3x2_ISP";1;"ISP";;;
